Image No,Link
Image 000,https://zeenews.india.com/india/farm-laws-repealed-what-was-the-controversy-surrounding-them-and-why-were-they-being-opposed-2411771.html
Image 001,https://blog.ipleaders.in/farmers-bills-passed-2020/
Image 002,https://www.telegraphindia.com/opinion/why-the-farmers-protest-is-like-no-other/cid/1799642
Image 003,https://theprint.in/plugged-in/primetime/zee-news-on-saajish-in-farmers-protest-aaj-tak-admires-amit-shahs-hyderabad-rally/554422/
Image 004,https://scroll.in/article/841226/a-farm-crisis-is-slowly-brewing-in-assam-and-farmers-are-staging-protests-to-draw-attention-to-it
Image 005,https://www.newsbytesapp.com/news/politics/muzaffarnagar-kisan-mahapanchayat-farmers-to-intensify-protest/story
Image 006,https://www.india.com/news/india/farmers-protest-in-delhi-turns-violent-as-protesters-clash-with-police-10-points-4359188/
Image 007,https://indianexpress.com/photos/india-news/ghazipur-farmers-protest-ghaziabad-administration-order-overnight-protest-site-7166638/
Image 008,https://thewire.in/world/london-protest-farmers-india-laws
Image 009,https://english.madhyamam.com/india/nia-chargesheets-16-foreign-based-sikhs-in-sfj-case-614543
Image 010,https://indianexpress.com/article/india/unlike-tense-shaheen-bagh-farmers-at-singhu-border-upbeat-7086684/
Image 011,https://abcnews.go.com/International/wireStory/indian-farmers-protest-fear-exploitation-private-players-73235193
Image 012,https://www.rediff.com/news/interview/ashok-gulati-farm-laws-could-have-become-a-huge-election-issue/20211120.htm
Image 013,https://scroll.in/article/979925/shame-on-the-media-protesting-farmers-explain-why-they-are-angry-with-the-news-coverage
Image 014,https://www.siasat.com/protest-against-the-farm-bills-in-chennai-1981164/
Image 015,https://www.cbc.ca/news/canada/toronto/rally-india-consulate-farmers-1.5830200
Image 016,https://www.socialnews.xyz/2020/01/25/new-delhi-farmers-protest-against-brazilian-president-gallery/
Image 017,https://english.newstracklive.com/news/no-decision-made-next-meeting-to-be-held-on-december-9-farmers-protest-on-farm-bill-sc1-nu306-ta306-1133152-1.html
Image 018,https://indianexpress.com/article/india/day-after-r-day-clash-ghazipur-protest-site-presents-a-picture-in-contrast-7163831/
Image 019,https://telanganatoday.com/anti-social-elements-like-deep-sidhu-damaged-farmers-stir-skm
Image 020,https://www.indiatimes.com/trending/social-relevance/farmers-placards-during-the-bharat-bandh-protest-529275.html
Image 021,https://www.rediff.com/news/report/hundreds-of-women-to-drive-tractors-during-parade/20210125.htm
Image 022,https://www.barandbench.com/columns/hasty-harvest-legal-issues-with-the-farmers-produce-act-2020
Image 023,https://zeenews.india.com/hindi/zee-hindustan/national/ghazipur-border-latest-updates-farmers-protest-rakesh-tikait-bku-convenes-mahapanchayat/837602
Image 024,https://www.outlookindia.com/website/story/india-news-farmers-protest-delhi-police-gives-nod-to-tractor-rally-warns-against-disrupting-republic-day-parade/371721
Image 025,https://globalnews.ca/news/7538576/bc-india-farmers-rally/
Image 026,https://www.aljazeera.com/news/2020/12/22/indias-ruling-bjp-says-no-question-of-repealing-farm-laws
Image 027,https://derekdemars.com/2020/05/29/those-who-hunger-for-justice-will-be-satisfied-matt-5-6/
Image 028,https://theprint.in/in-pictures/farmers-with-tractors-hookahs-chaupar-rare-photos-of-protests-at-delhis-boat-club/562958/
Image 029,https://economictimes.indiatimes.com/tech/tech-bytes/farmers-protests-twitter-lit-up-as-republic-day-tractor-rally-turned-violent-in-delhi/articleshow/80489984.cms
Image 030,https://www.revelstokereview.com/news/ubco-students-asking-for-support-in-raising-funds-for-indian-farmers/
